title,totalScore,url,reviewsCount
Alun-Alun Bandung,"4,6",https://www.google.com/maps/search/?api=1&query=Alun-Alun%20Bandung&query_place_id=ChIJMcIOvp3oaC4RZdAMyaoSdBc,118180
Plaza Cikapundung River Spot,"4,4",https://www.google.com/maps/search/?api=1&query=Plaza%20Cikapundung%20River%20Spot&query_place_id=ChIJSZh4eiXmaC4RAUPOmyG32uk,5685
The Centre Of Bandung 0 Km Monument,"4,7",https://www.google.com/maps/search/?api=1&query=The%20Centre%20Of%20Bandung%200%20Km%20Monument&query_place_id=ChIJ1RIjvSXmaC4RheCmPFv6hFU,937
Asia Africa Monument,"4,6",https://www.google.com/maps/search/?api=1&query=Asia%20Africa%20Monument&query_place_id=ChIJOd0juyXmaC4RDPsJKOQexU8,703
Gapura JPO Asia Afrika,"4,7",https://www.google.com/maps/search/?api=1&query=Gapura%20JPO%20Asia%20Afrika&query_place_id=ChIJsV0cDejnaC4RBJByXyD-zbs,54
Asia Afrika Fountain,"4,7",https://www.google.com/maps/search/?api=1&query=Asia%20Afrika%20Fountain&query_place_id=ChIJaWZncCXmaC4RQYINvjbU1vQ,1009
TOMORO COFFEE - HQuarter,"4,7",https://www.google.com/maps/search/?api=1&query=TOMORO%20COFFEE%20-%20HQuarter&query_place_id=ChIJXzKiuBXnaC4RJrln0La3sSQ,388
Night street perform,5,https://www.google.com/maps/search/?api=1&query=Night%20street%20perform&query_place_id=ChIJw_GepwHnaC4RUzvBUFla_64,7
Citaat van M.A.W Brouwer,"4,5",https://www.google.com/maps/search/?api=1&query=Citaat%20van%20M.A.W%20Brouwer&query_place_id=ChIJ7-3WVZznaC4R4FsMDoQ7bJ0,22
Pidie Baiq Quotes,"4,7",https://www.google.com/maps/search/?api=1&query=Pidie%20Baiq%20Quotes&query_place_id=ChIJK97ImNLnaC4R2gWxcYvGcfA,88
Tugu Juang Cibiru,5,https://www.google.com/maps/search/?api=1&query=Tugu%20Juang%20Cibiru&query_place_id=ChIJyyZXOgDDaC4ROB_KpuTC6UI,3
